Genre,Total_Global_Sales,Game_Count,Average_Sales_Per_Game
Action,1751.18,3316,0.5281001206272617
Sports,1330.93,2346,0.5673188405797102
Shooter,1037.37,1310,0.791885496183206
Role-Playing,927.37,1488,0.6232325268817205
Platform,831.37,886,0.9383408577878104
Misc,809.96,1739,0.4657619321449109
Racing,732.04,1249,0.5861008807045637
Fighting,448.91,848,0.529375
Simulation,392.2,867,0.4523644752018454
Puzzle,244.95,582,0.4208762886597938
Adventure,239.04,1286,0.18587869362363918
Strategy,175.12,681,0.25715124816446405
