Platform,Average_Global_Sales,Total_Global_Sales,Game_Count
GB,2.6066326530612245,255.45000000000002,98
NES,2.561938775510204,251.07,98
GEN,1.0503703703703704,28.36,27
SNES,0.8370292887029289,200.05,239
PS4,0.8276785714285715,278.1,336
X360,0.7746719367588933,979.96,1265
2600,0.7299248120300752,97.08,133
PS3,0.7207223476297968,957.84,1329
Wii,0.6994037735849057,926.71,1325
N64,0.6861442006269592,218.88,319
XOne,0.6622535211267606,141.06,213
PS,0.6109197324414716,730.66,1196
PS2,0.5810458121240167,1255.64,2161
WiiU,0.5724475524475524,81.86,143
3DS,0.4861689587426326,247.46,509
GBA,0.38746958637469586,318.5,822
DS,0.3802542764678687,822.49,2163
GC,0.3585611510791367,199.36,556
XB,0.31342233009708736,258.26,824
SCD,0.3116666666666667,1.87,6
DC,0.3071153846153846,15.97,52
PC,0.26960416666666664,258.82,960
PSP,0.24425391591096457,296.28000000000003,1213
WS,0.23666666666666666,1.42,6
SAT,0.1941618497109827,33.59,173
PSV,0.14995157384987892,61.93,413
NG,0.12,1.44,12
TG16,0.08,0.16,2
GG,0.04,0.04,1
3DO,0.03333333333333333,0.1,3
PCFX,0.03,0.03,1
